#,Job_ID,WeatherFile,ModelFile,@@P1_Wall_R@@,@@P2_Roof_R@@,@@P3_Roof_Abs@@,@@P4_U@@,@@P4_SHGC@@,@@P4_VT@@,@@P5_COP@@,@@P6_ClgSetp@@,@@P7_LPD@@,Message,Warnings,Errors,Hours,Minutes,Seconds,Scenario,Total_Site_Energy_GJ,EUI_MJ_m2,Electricity_EndUse_GJ,NaturalGas_EndUse_GJ,P8_PV_kW,P9_BESS_kWh,Net_EUI_kWh_m2,LCE_tCO2_m2,LCC_USD_m2
0,LHS-000000,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,1.1052,6.193887387,0.37,2.86184304,0.219,0.2409,3.65,26.0,6.66362,EnergyPlus Completed Successfully,8855629,0,0,1,45.3,1_Baseline,2033.49,408.15,146275.65,9344.71,150,0,68.21241469289441,2.9681943147330387,986.7445610387398
1,LHS-000001,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,1.7302,4.318887387,0.23,1.5,0.13,0.17,3.9,24.0,4.6,EnergyPlus Completed Successfully,7045193,0,0,1,18.6,1_Baseline,1852.29,371.78,137952.6,9347.41,0,150,103.27222222222221,4.478630999999999,1493.911394911768
2,LHS-000002,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,2.9802,4.318887387,0.23,1.5,0.17,0.24,3.399288815,25.0,4.6,EnergyPlus Completed Successfully,7175877,17,0,1,51.05,1_Baseline,1945.23,390.44,145182.07,9345.18,60,30,90.39052143271331,3.9273135258932155,1307.5677762581324
3,LHS-000003,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,2.3552,6.818887387,0.37,1.5,0.13,0.17,4.15,26.0,6.66362,EnergyPlus Completed Successfully,8386558,15,0,1,49.93,1_Baseline,1856.28,372.58,128747.35,9344.63,30,30,94.46192738302332,4.092427262946607,1366.4637660180092
4,LHS-000004,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,1.7302,5.568887387,0.45,1.5,0.17,0.24,3.65,24.5,6.66362,EnergyPlus Completed Successfully,6682436,0,0,1,29.42,1_Baseline,2005.29,402.49,151329.88,9346.13,150,0,66.64019247067219,2.903592314733038,964.0011684538762
5,LHS-000005,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,2.3552,4.943887387,0.23,2.86184304,0.219,0.2409,3.399288815,24.0,6.0,EnergyPlus Completed Successfully,7156311,13,0,1,37.54,1_Baseline,2078.68,417.22,161827.26,9346.91,150,150,70.73185913733886,3.0893713147330386,1023.1902449158974
6,LHS-000006,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,2.3552,4.318887387,0.3,1.5,0.17,0.24,3.399288815,25.0,6.66362,EnergyPlus Completed Successfully,7336434,15,0,1,49.06,1_Baseline,2047.37,410.94,153456.5,9341.86,120,0,78.01993175431554,3.3912230517864312,1128.6177693281984
7,LHS-000007,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,1.1052,4.943887387,0.37,1.6,0.19,0.27,3.65,25.0,6.0,EnergyPlus Completed Successfully,7405672,16,0,1,43.98,1_Baseline,1994.22,400.27,149280.69,9343.34,120,90,75.05604286542663,3.2737340517864304,1085.742857865213
8,LHS-000008,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,0.4802,6.193887387,0.23,1.5,0.15,0.2,3.65,25.0,4.0,EnergyPlus Completed Successfully,7399434,0,0,1,35.0,1_Baseline,1910.51,383.47,143663.97,9343.65,0,0,106.51944444444445,4.6156880000000005,1540.8849389607178
9,LHS-000009,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,1.1052,6.818887387,0.3,1.6,0.19,0.27,3.65,24.5,4.0,EnergyPlus Completed Successfully,6780592,0,0,1,33.71,1_Baseline,1911.13,383.59,146580.61,9344.79,0,30,106.55277777777776,4.6184199999999995,1541.367131029654
