#,Job_ID,WeatherFile,ModelFile,@@P1_Wall_R@@,@@P2_Roof_R@@,@@P3_Roof_Abs@@,@@P4_U@@,@@P4_SHGC@@,@@P4_VT@@,@@P5_COP@@,@@P6_ClgSetp@@,@@P7_LPD@@,Message,Warnings,Errors,Hours,Minutes,Seconds,Scenario,Climate_DeltaT,Total_Site_Energy_GJ,EUI_MJ_m2,Building_Area_m2,Cooling_Elec_GJ,IntLighting_Elec_GJ,IntEquip_Elec_GJ,Fans_Elec_GJ,Pumps_Elec_GJ,Electricity_EndUse_GJ,NaturalGas_EndUse_GJ,EUI_kWh_m2
0,LHS-000000,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,1.1052,6.193887387,0.37,2.86184304,0.219,0.2409,3.65,26.0,6.66362,EnergyPlus Completed Successfully,8855629,0,0,1,45.3,1_Baseline,0.0,2033.49,408.15,4982.19,853.61,231.98,705.43,72.61,0.15,1924.97,108.53,113.375
1,LHS-000001,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,1.7302,4.318887387,0.23,1.5,0.13,0.17,3.9,24.0,4.6,EnergyPlus Completed Successfully,7045193,0,0,1,18.6,1_Baseline,0.0,1852.29,371.78,4982.19,720.16,164.08,705.43,92.52,0.15,1743.46,108.83,103.272
2,LHS-000002,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,2.9802,4.318887387,0.23,1.5,0.17,0.24,3.399288815,25.0,4.6,EnergyPlus Completed Successfully,7175877,17,0,1,51.05,1_Baseline,0.0,1945.23,390.44,4982.19,823.0,162.74,705.43,84.15,0.15,1836.6,108.63,108.456
3,LHS-000003,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,2.3552,6.818887387,0.37,1.5,0.13,0.17,4.15,26.0,6.66362,EnergyPlus Completed Successfully,8386558,15,0,1,49.93,1_Baseline,0.0,1856.28,372.58,4982.19,685.38,234.08,705.43,61.53,0.15,1747.76,108.52,103.494
4,LHS-000004,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,1.7302,5.568887387,0.45,1.5,0.17,0.24,3.65,24.5,6.66362,EnergyPlus Completed Successfully,6682436,0,0,1,29.42,1_Baseline,0.0,2005.29,402.49,4982.19,803.54,232.16,705.43,94.12,0.15,1896.59,108.71,111.803
5,LHS-000005,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,2.3552,4.943887387,0.23,2.86184304,0.219,0.2409,3.399288815,24.0,6.0,EnergyPlus Completed Successfully,7156311,13,0,1,37.54,1_Baseline,0.0,2078.68,417.22,4982.19,889.93,209.96,705.43,103.21,0.15,1969.85,108.83,115.894
6,LHS-000006,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,2.3552,4.318887387,0.3,1.5,0.17,0.24,3.399288815,25.0,6.66362,EnergyPlus Completed Successfully,7336434,15,0,1,49.06,1_Baseline,0.0,2047.37,410.94,4982.19,853.85,232.16,705.43,85.95,0.15,1938.74,108.63,114.15
7,LHS-000007,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,1.1052,4.943887387,0.37,1.6,0.19,0.27,3.65,25.0,6.0,EnergyPlus Completed Successfully,7405672,16,0,1,43.98,1_Baseline,0.0,1994.22,400.27,4982.19,819.46,209.7,705.43,89.67,0.15,1885.59,108.64,111.186
8,LHS-000008,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,0.4802,6.193887387,0.23,1.5,0.15,0.2,3.65,25.0,4.0,EnergyPlus Completed Successfully,7399434,0,0,1,35.0,1_Baseline,0.0,1910.51,383.47,4982.19,804.47,142.14,705.43,88.59,0.15,1801.88,108.63,106.519
9,LHS-000009,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,1.1052,6.818887387,0.3,1.6,0.19,0.27,3.65,24.5,4.0,EnergyPlus Completed Successfully,6780592,0,0,1,33.71,1_Baseline,0.0,1911.13,383.59,4982.19,798.23,141.37,705.43,96.14,0.15,1802.42,108.71,106.553
10,LHS-000010,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,2.9802,5.568887387,0.3,2.86184304,0.219,0.2409,4.15,24.0,4.0,EnergyPlus Completed Successfully,7152591,11,0,1,49.03,1_Baseline,0.0,1830.77,367.46,4982.19,711.78,141.54,705.43,101.94,0.15,1721.94,108.84,102.072
11,LHS-000011,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,2.3552,5.568887387,0.23,2.86184304,0.219,0.2409,4.15,24.0,6.66362,EnergyPlus Completed Successfully,7143951,12,0,1,42.04,1_Baseline,0.0,1944.51,390.29,4982.19,733.44,231.98,705.43,103.48,0.15,1835.68,108.83,108.414
12,LHS-000012,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,2.3552,4.943887387,0.3,1.6,0.19,0.27,3.399288815,25.0,6.0,EnergyPlus Completed Successfully,7401482,0,0,1,40.22,1_Baseline,0.0,2030.64,407.58,4982.19,858.26,209.7,705.43,87.29,0.15,1922.01,108.63,113.217
13,LHS-000013,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,2.9802,4.318887387,0.45,1.5,0.15,0.2,3.9,26.0,6.0,EnergyPlus Completed Successfully,8506076,0,0,1,38.34,1_Baseline,0.0,1886.74,378.7,4982.19,736.81,210.87,705.43,63.8,0.15,1778.23,108.51,105.194
14,LHS-000014,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,0.4802,4.943887387,0.3,2.86184304,0.219,0.2409,4.4,25.0,4.0,EnergyPlus Completed Successfully,7610509,7,0,1,52.35,1_Baseline,0.0,1815.78,364.45,4982.19,704.67,141.54,705.43,94.25,0.15,1707.14,108.64,101.236
15,LHS-000015,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,1.1052,4.318887387,0.37,1.5,0.13,0.17,4.4,25.5,6.0,EnergyPlus Completed Successfully,7851612,0,0,1,45.88,1_Baseline,0.0,1816.52,364.6,4982.19,655.19,211.85,705.43,74.14,0.15,1707.94,108.58,101.278
16,LHS-000016,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,1.1052,5.568887387,0.37,1.5,0.17,0.24,3.65,24.5,4.0,EnergyPlus Completed Successfully,6726113,15,0,1,45.25,1_Baseline,0.0,1902.36,381.83,4982.19,790.77,141.64,705.43,94.55,0.15,1793.65,108.71,106.064
17,LHS-000017,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,1.7302,5.568887387,0.45,1.6,0.19,0.27,3.9,25.5,6.66362,EnergyPlus Completed Successfully,7944720,13,0,1,58.45,1_Baseline,0.0,1953.21,392.04,4982.19,767.99,231.7,705.43,78.15,0.15,1844.62,108.59,108.9
18,LHS-000018,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,1.7302,5.568887387,0.23,1.5,0.17,0.24,4.4,26.0,4.6,EnergyPlus Completed Successfully,8474046,0,0,1,51.48,1_Baseline,0.0,1751.56,351.56,4982.19,649.85,162.74,705.43,63.75,0.15,1643.04,108.52,97.656
19,LHS-000019,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,1.1052,5.568887387,0.45,1.6,0.19,0.27,4.15,26.0,5.3,EnergyPlus Completed Successfully,8629207,9,0,1,54.0,1_Baseline,0.0,1855.74,372.47,4982.19,724.92,186.5,705.43,69.07,0.15,1747.22,108.52,103.464
20,LHS-000020,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,2.3552,4.318887387,0.45,1.6,0.19,0.27,3.9,25.5,4.0,EnergyPlus Completed Successfully,8025258,17,0,1,52.23,1_Baseline,0.0,1830.3,367.37,4982.19,737.62,141.37,705.43,76.05,0.15,1721.72,108.58,102.047
21,LHS-000021,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,2.3552,6.818887387,0.3,1.5,0.17,0.24,4.15,26.0,5.3,EnergyPlus Completed Successfully,8496957,12,0,2,1.73,1_Baseline,0.0,1817.53,364.81,4982.19,692.0,186.87,705.43,63.43,0.15,1709.02,108.52,101.336
22,LHS-000022,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,0.4802,5.568887387,0.3,1.5,0.15,0.2,3.9,24.5,6.66362,EnergyPlus Completed Successfully,6753232,10,0,1,44.14,1_Baseline,0.0,1982.54,397.93,4982.19,776.05,232.99,705.43,98.02,0.15,1873.83,108.71,110.536
