climate,L1,L2,L3,L4,L5,L6,L7,L8,L9,Net_EUI,LCC,LCE
Baseline +0.0°C,0,0,0,0,0,4,4,5,0,88.93213576639191,703546.3679818786,6085329.913245235
Baseline +0.0°C,0,0,0,2,0,4,4,5,2,83.7608824627537,761026.570164874,5778228.814811602
Baseline +0.0°C,3,0,0,2,0,4,4,5,4,78.12113855852957,837601.5815583488,5423630.357316399
Baseline +0.0°C,0,0,0,0,4,4,4,5,1,75.26614870197514,1041819.7020236768,5192425.6506726565
Baseline +0.0°C,0,0,0,0,4,4,4,5,5,71.74905103024561,1077044.4548197489,4979962.741512656
Baseline +0.0°C,0,0,0,2,3,4,4,5,4,71.59690760149832,1089297.6907737453,4988680.859063555
Baseline +0.0°C,3,0,0,0,4,4,4,5,5,67.85618298825344,1135752.8564433863,4730774.326548117
Baseline +0.0°C,4,0,0,2,4,4,4,5,2,66.93234547544901,1153938.542165745,4681654.563449625
Baseline +0.0°C,4,0,0,4,4,4,4,5,5,64.20376294430812,1204278.0411862126,4516374.207746345
Median future +2.03°C,0,0,0,0,4,4,4,5,1,86.20201601154547,1115094.2284373315,5910633.420522306
Median future +2.03°C,0,0,0,2,0,4,4,5,2,94.92117604185526,835804.8390937923,6511175.670823594
Median future +2.03°C,2,0,0,0,4,3,4,5,5,78.98286908444484,1204835.4830508335,5459356.09363991
Median future +2.03°C,2,0,0,0,0,4,4,5,5,92.23098462399562,878195.8845248462,6329419.642055908
Median future +2.03°C,4,0,0,2,4,3,4,5,2,77.80331715513651,1226778.2428439208,5395600.344351187
Median future +2.03°C,0,0,0,2,3,4,4,5,4,82.66806696429128,1163478.7260949048,5715773.86874584
Median future +2.03°C,0,0,0,0,0,4,4,5,0,100.09242171609893,778324.5857909125,6818276.26820045
Median future +2.03°C,4,0,0,4,4,3,4,5,5,75.07474988278469,1277117.8441041568,5230320.990761462
Worst 2080s +4.47°C,3,0,0,0,4,3,4,5,3,97.30626777382523,1303860.4650902466,6655579.149143334
Worst 2080s +4.47°C,2,0,0,0,4,3,4,5,5,95.9799317675503,1318722.3548710335,6575629.923420632
Worst 2080s +4.47°C,0,0,0,0,4,3,4,5,1,103.23146547443608,1229198.1041661967,7029034.236322852
Worst 2080s +4.47°C,0,0,0,2,0,2,4,5,2,112.64200123716776,954541.1987339036,7674982.251787032
Worst 2080s +4.47°C,0,0,0,0,0,2,4,5,0,117.61814040506376,895753.6566309544,7969269.324196875
Worst 2080s +4.47°C,3,0,0,0,0,2,4,5,0,113.4514991697122,952627.6723279624,7702100.987834133
Worst 2080s +4.47°C,4,0,0,4,4,3,4,5,5,92.07111829098781,1391000.0640148898,6346549.224375446
Worst 2080s +4.47°C,2,0,0,0,0,2,4,5,5,109.48734753903467,993820.1678512427,7462722.888528211
Worst 2080s +4.47°C,4,0,0,2,4,3,4,5,2,94.79988392759746,1340661.7918716443,6511841.605441384
Worst 2080s +4.47°C,3,0,0,2,0,2,4,5,4,106.71681116595143,1029203.6107778379,7301637.256024288
Worst 2080s +4.47°C,3,0,0,0,4,3,4,5,0,99.94409102762238,1277529.9104676375,6815008.523783333
Worst 2080s +4.47°C,2,0,0,1,4,3,4,5,4,93.91075037493582,1350599.4576704935,6458447.504528368
