P1_Wall_lvl,P2_Roof_lvl,P3_CoolRoof_lvl,P4_Glazing_lvl,P5_HVAC_lvl,P6_SetPt_lvl,P7_LED_lvl,P8_PV_lvl,P9_BESS_lvl,P1_Wall_U,P2_Roof_U,P3_Roof_Reflectance,P4_Win_U,P4_Win_SHGC,P5_COP,P6_Cool_SP,P7_LPD,P8_PV_kW,P9_BESS_kWh,Gross_EUI,Net_EUI,LCC,LCE,Net_balance_EUI,RE_fraction,Closeness,NZE_class
0,0,0,0,0,3,4,5,0,2.0825,0.2315,0.55,2.8618,0.219,3.3993,25.5,4.0,150.0,0.0,114.77626037597656,89.12072676980988,704810.0004007937,6097715.535724396,72.01702498337451,0.2235265476634322,0.8104740611581452,Below target
0,0,0,1,0,3,4,5,2,2.0825,0.2315,0.55,1.6,0.19,3.3993,25.5,4.0,150.0,60.0,111.73649597167969,84.3224059002537,762053.7640304265,5815106.593624103,68.97726057907764,0.24534589019485864,0.8026568061509752,Below target
4,0,0,0,0,3,4,5,4,0.3355,0.2315,0.55,2.8618,0.219,3.3993,25.5,4.0,150.0,120.0,110.50765991210938,81.33502100481863,801696.0108721224,5613545.600188453,67.74842451950732,0.2639874822296733,0.7673107340325609,Below target
3,0,0,1,0,3,4,5,4,0.4246,0.2315,0.55,1.6,0.19,3.3993,25.5,4.0,150.0,120.0,107.63352966308594,78.46089075579519,837142.8226283584,5445943.417725071,64.8742942704839,0.27103672060748013,0.7202728772671144,Below target
0,0,0,0,4,3,4,5,1,2.0825,0.2315,0.55,2.8618,0.219,4.4,25.5,4.0,150.0,30.0,102.53349304199219,75.99867738849858,1046727.9265905977,5240534.116092539,59.77425764939014,0.2587916871477926,0.3425418516171735,Below target
0,0,0,0,4,3,4,5,5,2.0825,0.2315,0.55,2.8618,0.219,4.4,25.5,4.0,150.0,150.0,102.53349304199219,72.48157971676905,1081952.67938667,5028071.206932538,59.77425764939014,0.2930936266154074,0.29283640260006194,Below target
3,0,0,0,4,3,4,5,3,0.4246,0.2315,0.55,2.8618,0.219,4.4,25.5,4.0,150.0,90.0,98.66670227050781,70.37333778114944,1123399.452325547,4886772.063432962,55.90746687790576,0.28675696905110265,0.23906336008235402,Below target
4,0,0,0,4,3,4,5,5,0.3355,0.2315,0.55,2.8618,0.219,4.4,25.5,4.0,150.0,150.0,98.51731872558594,68.46540540036281,1145305.340672293,4772942.646148572,55.758083332983894,0.3050419328700056,0.22172578192286735,Below target
3,0,0,1,3,3,4,5,5,0.4246,0.2315,0.55,1.6,0.19,4.15,25.5,4.0,150.0,150.0,98.03746795654297,67.98555463131983,1161590.7580872457,4762583.604721535,55.27823256394092,0.306534980468327,0.20674555531994063,Below target
2,0,0,1,4,3,4,5,4,0.578,0.2315,0.55,1.6,0.19,4.4,25.5,4.0,150.0,120.0,96.30392456054688,67.13128565325611,1171166.7213775963,4699719.175894265,53.54468916794482,0.30292263830795113,0.20394526136405114,Below target
4,0,0,4,4,3,4,5,5,0.3355,0.2315,0.55,1.5,0.13,4.4,25.5,4.0,150.0,150.0,95.68476104736328,65.63284772214016,1213853.460065789,4610228.655880935,52.92552565476124,0.31407209461857405,0.1895259388418547,Below target
