n_per_scenario,n_train,seed,model,r2_test,rmse,mae
25,150,42,PI-HGAT,0.42766672372817993,4.648936627942984,3.772578239440918
25,150,42,XGBoost,0.5043812937966003,4.326164057320497,3.5985484372558596
25,150,42,ANN (MLP),-5.541389982959453,15.71680123183939,11.792054785400389
25,150,42,Linear Reg,0.9804438980985198,0.8593504045461414,0.7222241305070354
25,150,43,PI-HGAT,0.5170650482177734,4.270448298271845,3.441770076751709
25,150,43,XGBoost,0.5043812937966003,4.326164057320497,3.5985484372558596
25,150,43,ANN (MLP),-5.151686712567389,15.241448570097148,11.28763432861328
25,150,43,Linear Reg,0.9804438980985198,0.8593504045461414,0.7222241305070354
25,150,44,PI-HGAT,-0.08259153366088867,6.39383532932354,5.307279586791992
25,150,44,XGBoost,0.5043812937966003,4.326164057320497,3.5985484372558596
25,150,44,ANN (MLP),-6.400809052611021,16.717400212703538,13.110120092529296
25,150,44,Linear Reg,0.9804438980985198,0.8593504045461414,0.7222241305070354
50,300,42,PI-HGAT,0.8732684254646301,2.1876181434335136,1.7764018774032593
50,300,42,XGBoost,0.6594959058151197,3.5858350591451993,3.1990336232910153
50,300,42,ANN (MLP),-0.5709170629224176,7.702039976103637,5.614075816894531
50,300,42,Linear Reg,0.9705837844513892,1.0539561431679068,0.9101722345117043
50,300,43,PI-HGAT,0.840418815612793,2.4548219290673967,1.9898602962493896
50,300,43,XGBoost,0.6594959058151197,3.5858350591451993,3.1990336232910153
50,300,43,ANN (MLP),-0.3320501757133001,7.092338121157454,5.263608210693359
50,300,43,Linear Reg,0.9705837844513892,1.0539561431679068,0.9101722345117043
50,300,44,PI-HGAT,-0.16760742664337158,6.640144743663114,5.420253753662109
50,300,44,XGBoost,0.6594959058151197,3.5858350591451993,3.1990336232910153
50,300,44,ANN (MLP),-1.2988267155399162,9.317132201187741,6.869416686279298
50,300,44,Linear Reg,0.9705837844513892,1.0539561431679068,0.9101722345117043
100,600,42,PI-HGAT,0.9576346278190613,1.2648371846509898,1.0499171018600464
100,600,42,XGBoost,0.6707960158308495,3.5258325374878092,3.3712113967285156
100,600,42,ANN (MLP),0.8356197209982199,2.4914604448611293,1.9053593520507817
100,600,42,Linear Reg,0.9709714729615223,1.0469878448333325,0.9224268577065279
100,600,43,PI-HGAT,0.9472958445549011,1.4107548085302632,1.1847461462020874
100,600,43,XGBoost,0.6707960158308495,3.5258325374878092,3.3712113967285156
100,600,43,ANN (MLP),0.7170237437352351,3.2689188409833876,2.519844013183594
100,600,43,Linear Reg,0.9709714729615223,1.0469878448333325,0.9224268577065279
100,600,44,PI-HGAT,0.9664715528488159,1.125215456781768,0.9174341559410095
100,600,44,XGBoost,0.6707960158308495,3.5258325374878092,3.3712113967285156
100,600,44,ANN (MLP),0.7687544318190529,2.955056909432905,2.196564489257812
100,600,44,Linear Reg,0.9709714729615223,1.0469878448333325,0.9224268577065279
