fold_scenario,delta_t,model,eval_set,n,r2,rmse,mae,mape
1_Baseline,0.0,PI-HGAT,main,250,0.24164438070243355,4.333084638635917,4.081619194091796,3.8246327965899454
1_Baseline,0.0,PI-HGAT,external,150,0.10124270647215727,4.419705362605989,4.129883177490235,3.871966298384514
1_Baseline,0.0,PI-HGAT,combined,400,0.19320732045214917,4.365768816953339,4.099718187866211,3.842382859762909
1_Baseline,0.0,XGBoost,main,250,-0.7410957027432812,6.565564005281465,6.522751792968749,6.137731424745551
1_Baseline,0.0,XGBoost,external,150,-0.9832635180249261,6.565417009573655,6.505029814453126,6.128604846087196
1_Baseline,0.0,XGBoost,combined,400,-0.8246403152427328,6.565508882276712,6.51610605102539,6.134308957748669
1_Baseline,0.0,ANN (MLP),main,250,0.9191045867538528,1.4152157936485374,1.1656827141113282,1.102614415270165
1_Baseline,0.0,ANN (MLP),external,150,0.8849173395011619,1.5815286040847827,1.2634710343424476,1.1940177830564473
1_Baseline,0.0,ANN (MLP),combined,400,0.9073101962082916,1.479775189411232,1.202353334197998,1.1368906781900208
1_Baseline,0.0,Linear Reg,main,250,0.6624029419002965,2.8910795675017837,2.486838748447196,2.385687092570842
1_Baseline,0.0,Linear Reg,external,150,0.6153523226271795,2.891369940105769,2.486336940819051,2.37976656758296
1_Baseline,0.0,Linear Reg,combined,400,0.646171115207514,2.891188460645838,2.4866505705866415,2.383466895700386
2,1.879,PI-HGAT,main,250,0.9749266701632301,0.9102051835423818,0.7166742546386717,0.6182947224763291
2,1.879,PI-HGAT,external,150,0.9708879331708063,0.9223973739814668,0.7572902840169271,0.6558133152702996
2,1.879,PI-HGAT,combined,400,0.9735264322191289,0.9147962974974826,0.7319052656555175,0.6323641947740681
2,1.879,XGBoost,main,250,0.9953616597393545,0.391484525299025,0.34601262719726544,0.2980310888173497
2,1.879,XGBoost,external,150,0.9777950884821353,0.8055751513555525,0.6428477901204425,0.5560407628963714
2,1.879,XGBoost,combined,400,0.9892712719109804,0.5823609964175548,0.4573258132934568,0.39478471659698283
2,1.879,ANN (MLP),main,250,0.9801861634682764,0.8091286616043359,0.6206675227050784,0.5389123530541224
2,1.879,ANN (MLP),external,150,0.9686455502377401,0.9572626848932513,0.7477571154785155,0.6482709696065284
2,1.879,ANN (MLP),combined,400,0.9761849988144358,0.8676477899193332,0.6683261199951173,0.5799218342612747
2,1.879,Linear Reg,main,250,0.9735020249050192,0.9357064891527115,0.808980760555404,0.6967265210789643
