model,seed,fit_seconds,r2_train,r2_test,rmse,mae,mape
PI-HGAT,0,106.01253533363342,0.9884203672409058,0.9738492965698242,0.9455806572521216,0.765383780002594,0.670620845630765
Linear Reg,0,0.0017125606536865234,0.9826066303539096,0.969528044155818,1.0207208680374105,0.8688951063537281,0.7603867594226283
XGBoost,0,0.13232922554016113,0.9999291174290031,0.8096868662536586,2.5508869314610116,1.9423936367187498,1.717590224922423
ANN (MLP),0,4.8978307247161865,0.9785753438173174,0.9449818047413368,1.371544802561313,1.0674135283203128,0.9425758232008511
PI-HGAT,1,86.65066814422607,0.9870100021362305,0.9741702675819397,0.9397598051537419,0.7636880874633789,0.6677770055830479
Linear Reg,1,0.0019092559814453125,0.9826066303539096,0.969528044155818,1.0207208680374105,0.8688951063537281,0.7603867594226283
XGBoost,1,0.09779047966003418,0.9999291174290031,0.8096868662536586,2.5508869314610116,1.9423936367187498,1.717590224922423
ANN (MLP),1,7.347979784011841,0.9821825686372018,0.9519769263700679,1.2813914002771054,0.9918577768554688,0.8706640233066906
PI-HGAT,2,87.37683415412903,0.9740594625473022,0.9693107604980469,1.0243536074012287,0.8050847053527832,0.7025310304015875
Linear Reg,2,0.0014660358428955078,0.9826066303539096,0.969528044155818,1.0207208680374105,0.8688951063537281,0.7603867594226283
XGBoost,2,0.09144711494445801,0.9999291174290031,0.8096868662536586,2.5508869314610116,1.9423936367187498,1.717590224922423
ANN (MLP),2,4.904496669769287,0.9773929296181497,0.9372684629743667,1.4645351275238532,1.1408461446533207,1.0064397671610943
PI-HGAT,3,74.00210332870483,0.9824885129928589,0.9742029309272766,0.9391657018839888,0.7738431692123413,0.6783051416277885
Linear Reg,3,0.001634836196899414,0.9826066303539096,0.969528044155818,1.0207208680374105,0.8688951063537281,0.7603867594226283
XGBoost,3,0.0869147777557373,0.9999291174290031,0.8096868662536586,2.5508869314610116,1.9423936367187498,1.717590224922423
ANN (MLP),3,5.754892587661743,0.9835215201153505,0.9568755195651887,1.2142797888839298,0.9716844296874999,0.8532261125447995
PI-HGAT,4,77.75176954269409,0.9846128225326538,0.9715608954429626,0.9860862813130898,0.8086809515953064,0.7082913536578417
Linear Reg,4,0.0014696121215820312,0.9826066303539096,0.969528044155818,1.0207208680374105,0.8688951063537281,0.7603867594226283
XGBoost,4,0.10995244979858398,0.9999291174290031,0.8096868662536586,2.5508869314610116,1.9423936367187498,1.717590224922423
ANN (MLP),4,6.877406597137451,0.9871283754014879,0.9657895654786026,1.0815239066374878,0.8498618182373048,0.7443730158744156
PI-HGAT,5,73.16342115402222,0.9857721328735352,0.973362147808075,0.9543473269804232,0.7746423482894897,0.6782542448490858
Linear Reg,5,0.0014760494232177734,0.9826066303539096,0.969528044155818,1.0207208680374105,0.8688951063537281,0.7603867594226283
XGBoost,5,0.09191107749938965,0.9999291174290031,0.8096868662536586,2.5508869314610116,1.9423936367187498,1.717590224922423
ANN (MLP),5,5.387492656707764,0.9784687134909955,0.9437149828047114,1.3872451979350613,1.106898096801758,0.9743510611753688
PI-HGAT,6,64.56918263435364,0.9667094349861145,0.9566535353660583,1.217401247268998,0.9672828316688538,0.8446437306702137
Linear Reg,6,0.0014829635620117188,0.9826066303539096,0.969528044155818,1.0207208680374105,0.8688951063537281,0.7603867594226283
XGBoost,6,0.10911393165588379,0.9999291174290031,0.8096868662536586,2.5508869314610116,1.9423936367187498,1.717590224922423
ANN (MLP),6,6.650099754333496,0.9808860839562121,0.9511537633322176,1.2923268968389636,1.0262771738281253,0.9021982793820118
PI-HGAT,7,68.44179320335388,0.9816066026687622,0.9662089943885803,1.0748736240712202,0.8719379901885986,0.7653376087546349
Linear Reg,7,0.0014910697937011719,0.9826066303539096,0.969528044155818,1.0207208680374105,0.8688951063537281,0.7603867594226283
XGBoost,7,0.09869766235351562,0.9999291174290031,0.8096868662536586,2.5508869314610116,1.9423936367187498,1.717590224922423
ANN (MLP),7,5.5590150356292725,0.9797532330577845,0.9499545445655391,1.3080945960450507,1.0015686663818357,0.8828985367584992
PI-HGAT,8,67.50712060928345,0.9799438714981079,0.966282844543457,1.0736981049188299,0.8799217343330383,0.7719462271779776
Linear Reg,8,0.001561880111694336,0.9826066303539096,0.969528044155818,1.0207208680374105,0.8688951063537281,0.7603867594226283
XGBoost,8,0.12853169441223145,0.9999291174290031,0.8096868662536586,2.5508869314610116,1.9423936367187498,1.717590224922423
ANN (MLP),8,7.0872557163238525,0.9840392978614336,0.9536852416563035,1.258393683780699,1.00630519543457,0.8847856763913704
PI-HGAT,9,103.64638090133667,0.9803053736686707,0.9732412695884705,0.9565099113636809,0.7643696069717407,0.6697046104818583
Linear Reg,9,0.001481771469116211,0.9826066303539096,0.969528044155818,1.0207208680374105,0.8688951063537281,0.7603867594226283
XGBoost,9,0.12235546112060547,0.9999291174290031,0.8096868662536586,2.5508869314610116,1.9423936367187498,1.717590224922423
ANN (MLP),9,6.617892742156982,0.9798983081410788,0.9472047196051137,1.3435516881880705,1.0436331704101565,0.9196117108996845
